1587044470	0	1587044471
1587044471	10	1587044500
1587044500	15	1587044501
1587044501	20	1587044530
1587044530	23	1587044531
1587044531	30	1587044560
1587044560	33	1587044561
1587044561	40	1587044590
1587044590	43	1587044591
1587044591	50	1587044621
1587044621	60	1587044650
1587044650	61	1587044651
1587044651	70	1587044681
1587044681	80	1587044711
1587044711	90	1587044741
1587044741	100	1587044771
1587044771	102	1587044772
1587044772	110	1587044801
1587044801	120	1587044831
1587044831	130	1587044861
1587044861	140	1587044891
1587044891	150	1587044921
1587044921	155	1587044922
1587044922	160	1587044951
1587044951	165	1587044952
1587044952	170	1587044982
1587044982	177	1587044983
1587044983	180	1587045012
1587045012	186	1587045013
1587045013	190	1587045043
1587045043	200	1587045073
1587045073	210	1587045103
1587045103	211	1587045104
1587045104	220	1587045134
1587045134	230	1587045164
1587045164	240	1587045194
1587045194	248	1587045195
1587045195	250	1587045226
1587045226	260	1587045255
1587045255	266	1587045256
1587045256	270	1587045287
1587045287	278	1587045288
1587045288	280	1587045317
1587045317	287	1587045318
1587045318	290	1587045350
1587045350	298	1587045351
1587045351	300	1587045388
1587045388	310	1587045418
1587045418	320	1587045448
1587045448	330	1587045478
1587045478	338	1587045479
1587045479	340	1587045516
1587045516	350	1587045558
1587045558	360	1587046481
1587046481	359	1587046487
1587046487	355	1587046501
1587046501	354	1587046505
1587046505	352	1587046510
1587046510	351	1587046513
1587046513	350	1587046533
1587046533	348	1587046539
1587046539	347	1587046540
1587046540	345	1587046583
1587046583	344	1587046586
1587046586	342	1587046587
1587046587	340	1587046604
1587046604	339	1587046608
1587046608	336	1587046621
1587046621	335	1587046640
1587046640	334	1587046653
1587046653	333	1587046654
1587046654	331	1587046657
1587046657	330	1587046673
1587046673	327	1587046675
1587046675	326	1587046689
1587046689	325	1587046710
1587046710	324	1587046713
1587046713	323	1587046718
1587046718	322	1587046720
1587046720	320	1587046731
1587046731	319	1587046738
1587046738	316	1587046753
1587046753	315	1587046773
1587046773	311	1587046775
1587046775	310	1587046792
1587046792	309	1587046796
1587046796	308	1587046800
1587046800	307	1587046803
1587046803	306	1587046813
1587046813	305	1587046834
1587046834	304	1587046835
1587046835	303	1587046836
1587046836	302	1587046837
1587046837	301	1587046845
1587046845	300	1587046854
1587046854	298	1587046857
1587046857	297	1587046861
1587046861	296	1587046866
